table_name,elem_code,paramid,fromtime_offset,timespan
T_DIURNAL,VP,3136,-PT1H,P1D
T_DIURNAL,VSUM,3138,-PT1H,P1D
T_DIURNAL,VVN,3002,-PT1H,P1D
T_DIURNAL,VVX,3000,-PT1H,P1D
T_MONTH,DRR_GE1,3194,-PT1H,P1M
T_MONTH,FF2M,3045,-PT1H,P1M
T_MONTH,FF2N,3047,-PT1H,P1M
T_MONTH,FF2X,3048,-PT1H,P1M
T_MONTH,FFM,3051,-PT1H,P1M
T_MONTH,FFN,3053,-PT1H,P1M
T_MONTH,FFX,3055,-PT1H,P1M
T_MONTH,FGM,3057,-PT6H,P1M
T_MONTH,FGN,3059,-PT6H,P1M
T_MONTH,FGX,3061,-PT6H,P1M
T_MONTH,FXM,3062,-PT6H,P1M
T_MONTH,FXN,3064,-PT6H,P1M
T_MONTH,FXX,3066,-PT6H,P1M
T_MONTH,FXXDT,3068,-PT1H,P1M
T_MONTH,GD17,3069,-PT1H,P1M
T_MONTH,GD17_I,3074,-PT1H,P1M
T_MONTH,HWAM,3148,-PT1H,P1M
T_MONTH,HWAN,3152,-PT1H,P1M
T_MONTH,HWAX,3150,-PT1H,P1M
T_MONTH,MRM,3193,-PT1H,P1M
T_MONTH,NN04,3076,-PT1H,P1M
T_MONTH,NN09,3078,-PT1H,P1M
T_MONTH,NN20,3080,-PT1H,P1M
T_MONTH,NNM,3082,-PT1H,P1M
T_MONTH,NNN,3087,-PT1H,P1M
T_MONTH,NNX,3089,-PT1H,P1M
T_MONTH,OT,3090,-PT1H,P1M
T_MONTH,OTN,3091,-PT1H,P1M
T_MONTH,OTX,3092,-PT1H,P1M
T_MONTH,POM,3033,-PT1H,P1M
T_MONTH,PON,3036,-PT1H,P1M
T_MONTH,POX,3038,-PT1H,P1M
T_MONTH,PRM,3094,-PT1H,P1M
T_MONTH,PRN,3096,-PT1H,P1M
T_MONTH,PRX,3098,-PT1H,P1M
T_MONTH,PWAM,3142,-PT1H,P1M
T_MONTH,PWAN,3146,-PT1H,P1M
T_MONTH,PWAX,3144,-PT1H,P1M
T_MONTH,RR,3102,-PT18H,P1M
T_MONTH,RR_24X,3196,-PT18H,P1M
T_MONTH,RR_24XDT,3195,-PT18H,P1M
T_MONTH,RRA,3175,-PT18H,P1M
T_MONTH,RRA_6190,3175,-PT18H,P1M
T_MONTH,RRA_9120,3163,-PT18H,P1M
T_MONTH,RRID,117,PT6H,
T_MONTH,RRTA,3240,-PT6H,P1M
T_MONTH,SAM,3110,-PT18H,P1M
T_MONTH,SAN,3112,-PT18H,P1M
T_MONTH,SAX,3114,-PT18H,P1M
T_MONTH,SDM,3116,-PT18H,P1M
T_MONTH,SDN,3117,-PT18H,P1M
T_MONTH,SDX,3118,-PT18H,P1M
T_MONTH,SGN,3120,-PT1H,P1M
T_MONTH,SGX,3122,-PT1H,P1M
T_MONTH,SHM,3124,-PT1H,P1M
T_MONTH,TAM,3015,-PT1H,P1M
T_MONTH,TAM_K,3126,-PT1H,P1M
T_MONTH,TAMA,3170,-PT1H,P1M
T_MONTH,TAMA_6190,3170,-PT1H,P1M
T_MONTH,TAMA_9120,3159,-PT1H,P1M
T_MONTH,TAMRR,3301,-PT18H,P1M
T_MONTH,TAN,3018,-PT6H,P1M
T_MONTH,TANDT,3127,-PT6H,P1M
T_MONTH,TANM,3128,-PT6H,P1M
T_MONTH,TAX,3022,-PT6H,P1M
T_MONTH,TAXDT,3129,-PT6H,P1M
T_MONTH,TAXM,3130,-PT6H,P1M
T_MONTH,TD,3027,-PT1H,P1M
T_MONTH,TGNM,3131,-PT1H,P1M
T_MONTH,TGNN,3132,-PT1H,P1M
T_MONTH,TGNX,3133,-PT1H,P1M
T_MONTH,TWM,3029,-PT1H,P1M
T_MONTH,TWN,3030,-PT1H,P1M
T_MONTH,TWX,3031,-PT1H,P1M
T_MONTH,UM,3008,-PT1H,P1M
T_MONTH,UN,3007,-PT1H,P1M
T_MONTH,UX,3005,-PT1H,P1M
T_MONTH,VEKST,3135,-PT1H,P1M
T_MONTH,VP,3137,-PT1H,P1M
T_MONTH,VSUM,3139,-PT1H,P1M
T_MONTH,VVN,3003,-PT1H,P1M
T_MONTH,VVX,3001,-PT1H,P1M
T_HOMOGEN_DIURNAL,TAM,3009,-PT1H,P1D
T_HOMOGEN_DIURNAL,RR,3247,-PT18H,P1D
T_HOMOGEN_MONTH,TAM,3010,-PT1H,P1M
T_HOMOGEN_MONTH,RR,3099,-PT18H,P1M
