paramid,name,element_id
211,TA,air_temperature
2107,QLI_24,
3301,,mean(air_temperature P1M)
220,TDX,max(dew_point_temperature PT1H)
10224,TA_DELTA,air_temperature_vertical_difference
243,TWM,mean(sea_water_temperature PT1H)
407,DEPTH,depth
68,WDMT,sea_surface_wave_from_direction
285,TM_VS,
267,UX_010,max(relative_humidity PT10M)
248,TAN_X,
249,TAX_X,
333,ER,road_surface_condition
228,TNT,
2121,OT_01,sum(duration_of_sunshine PT1M)
10133,OD,max(hail_diameter PT1H)
240,TVN,
241,TVX,
10222,TIPAR_01,
222,TGM,mean(grass_temperature PT1H)
10520,TWB,
247,TAK,
256,TGW,
246,TXT,
239,TVM,
10109,TVIRTN,min(virtual_temperature PT1H)
1070,FN_1,min(wind_speed PT1H)
10110,TVIRTX,max(virtual_temperature PT1H)
212,TAM,mean(air_temperature PT1H)
10635,WSPRFO,sea_surface_wave_directional_spread_first_order
411,HGPM,
250,TWF,fresh_water_temperature
213,TAN,min(air_temperature PT1H)
141,WFF,
120,RR_9,sum(precipitation_amount PT9H)
179,PA,air_pressure
3291,,integral_of_excess(mean(air_temperature P1D) P3M 5.0)
217,TD,dew_point_temperature
254,TF,mean(road_freezing_point_temperature PT1M)
145,AGM,mean(air_gap PT10M)
225,TGX,max(grass_temperature PT1H)
234,TSA,snow_temperature
236,TSN,min(snow_temperature PT1H)
255,TSS,surface_temperature
257,TWD,sea_water_temperature
245,TWX,max(sea_water_temperature PT1H)
10634,WSPRLC,sea_surface_wave_directional_spread_long_crestedness_parameter
10636,WSPRM,mean(sea_surface_wave_directional_spread)
408,MALT,altitude
3141,,mean(sea_surface_wave_mean_period P1D)
146,AGX,max(air_gap PT10M)
231,TRM,mean(runway_temperature PT1H)
233,TRX,max(runway_temperature PT1H)
3300,,mean(air_temperature P1D)
325,RTH_010,sum(duration_of_precipitation_as_hail PT10M)
326,RTR_010,sum(duration_of_precipitation_as_rain PT10M)
154,PWA,sea_surface_wave_mean_period
324,RTS_010,sum(duration_of_precipitation_as_snow PT10M)
215,TAX,max(air_temperature PT1H)
223,TGN,min(grass_temperature PT1H)
235,TSM,mean(snow_temperature PT1H)
237,TSX,max(snow_temperature PT1H)
244,TWN,min(sea_water_temperature PT1H)
10132,OD_01,max(hail_diameter PT1M)
159,WTS,sea_surface_wave_significant_period
3304,,min(air_temperature P1D)
2733,DV_VVD,direction_of_visibility_in_air_operationally_significant
230,TR,runway_temperature
421,ZX,
103,EV_24,sum(water_evaporation_amount P1D)
105,RR_01,sum(precipitation_amount PT1M)
342,CJ,mean(bulk_soil_electrical_conductivity PT1H)
3120,,min(sea_state P1M)
1026,KLFX,over_time(time_of_maximum_wind_speed PT1H)
10221,TIGEO_01,
10223,TILPM_01,
3305,,max(air_temperature P1D)
3143,,max(sea_surface_wave_mean_period P1D)
3306,,mean(sea_surface_temperature P1D)
3001,,max(visibility_in_air_poorest_direction P1M)
3003,,min(visibility_in_air_poorest_direction P1M)
3124,,mean(specific_humidity P1M)
3137,,mean(water_vapor_partial_pressure_in_air P1M)
3126,,mean_k(air_temperature P1M)
3131,,mean(min(grass_temperature P1D) P1M)
3132,,min(min(grass_temperature P1D) P1M)
3005,,max(relative_humidity P1M)
3007,,min(relative_humidity P1M)
311,HT1,cloud_top_height1
10531,AGRAUP_01,
10532,AERR_01,
10533,AUKNWN_01,
10504,UUPWS,
10517,HEATSTATFFDD,
282,OCT_1,
283,OCT_24,
301,HS1,cloud_base_height1
302,HS2,cloud_base_height2
327,RTY_010,sum(duration_of_precipitation_as_drizzle PT10M)
340,SW,volume_fraction_of_water_in_soil
500,BIO_BGA,mass_concentration_of_blue_green_algae_in_sea_water
232,TRN,min(runway_temperature PT1H)
251,TAN_24,min(air_temperature P1D)
258,TAN_010,min(air_temperature PT10M)
259,TAX_010,max(air_temperature PT10M)
147,AGN,min(air_gap PT10M)
142,WLM_010,mean(sea_surface_height_above_lowest_astronomical_tide PT10M)
3011,,best_estimate_mean(air_temperature P1Y)
3015,,mean(air_temperature P1M)
10304,TIPLUV_01,
10226,TIUU,
10227,TITPS,
10518,STATCEIL,
3018,,min(air_temperature P1M)
3022,,max(air_temperature P1M)
3108,,best_estimate_sum(precipitation_amount_anomaly P3M 1961_1990)
3014,,mean(air_temperature P1Y)
3013,,mean(air_temperature P3M)
3019,,min(air_temperature P1Y)
3023,,max(air_temperature P1Y)
3017,,mean(air_temperature P6M)
3020,,min(air_temperature P3M)
3024,,max(air_temperature P3M)
143,WLX_010,max(sea_surface_height_above_lowest_astronomical_tide PT10M)
3021,,min(air_temperature P6M)
3025,,max(air_temperature P6M)
410,KLSLIPP,
10631,WTM02LF,sea_surface_swell_wave_mean_period_from_variance_spectral_density_second_frequency_moment
261,UH,relative_humidity
10099,STATTHIES3D,
238,TV,mean(road_surface_temperature PT1M)
144,WLN_010,min(sea_surface_height_above_lowest_astronomical_tide PT10M)
3310,,region_sum(precipitation_amount P1Y 1991_2020)
3039,,mean(sea_surface_wave_period P1D)
3040,,mean(sea_surface_wave_period P1M)
3041,,min(sea_surface_wave_period P1D)
3042,,min(sea_surface_wave_period P1M)
3043,,max(sea_surface_wave_period P1D)
3034,,max(sea_surface_wave_period P1M)
1025,KLFG,over_time(time_of_maximum_wind_speed_of_gust PT1H)
3311,,region_sum(precipitation_amount P3M 1991_2020)
3185,,best_estimate_sum(precipitation_amount_anomaly P6M 1961_1990)
501,BIO_CLPH,mass_concentration_of_chlorophyll_in_sea_water
3328,,region_mean(air_temperature_anomaly P1M 1961_1990)
276,X2VR,visibility_in_air_rvr_x2r
10507,HPA,
214,TAN_12,min(air_temperature PT12H)
3029,,mean(sea_surface_temperature P1M)
3030,,min(sea_surface_temperature P1M)
3033,,mean(surface_air_pressure P1M)
216,TAX_12,max(air_temperature PT12H)
3032,,mean(surface_air_pressure P1D)
3037,,max(surface_air_pressure P1D)
3031,,max(sea_surface_temperature P1M)
3099,,best_estimate_sum(precipitation_amount P1M)
3109,,over_time(change_in_surface_snow_thickness P1D)
3100,,best_estimate_sum(precipitation_amount P1Y)
10314,RAN_1,min(accumulated(precipitation_amount) PT1H)
10315,RAX_1,max(accumulated(precipitation_amount) PT1H)
512,WTHM0,sea_surface_wave_significant_period
199,QLX,max(mean(surface_upwelling_longwave_flux_in_air PT1M) PT1H)
3081,,mean(cloud_area_fraction P1D)
3009,,best_estimate_mean(air_temperature P1D)
3010,,best_estimate_mean(air_temperature P1M)
3012,,best_estimate_mean(air_temperature P3M)
3069,,integral_of_deficit(mean(air_temperature P1D) P1M 17.0)
2105,QLINETINST_010,mean(difference_between_downwelling_longwave_flux_and_instrument_longwave_radiation PT10M)
3083,,mean(cloud_area_fraction P1Y)
3101,,best_estimate_sum(precipitation_amount P3M)
3316,,region_sum(precipitation_amount_anomaly P1Y 1991_2020)
3319,,region_sum(precipitation_amount_anomaly P1M 1971_2000)
224,TGN_12,min(grass_temperature PT12H)
3090,,sum(duration_of_sunshine P1M)
3091,,min(sum(duration_of_sunshine P1D) P1M)
3092,,max(sum(duration_of_sunshine P1D) P1M)
2734,X1VRT,visibility_in_air_rvr_tendency_x1r
3068,,over_time(time_of_maximum_wind_speed P1M)
3084,,mean(cloud_area_fraction P3M)
3085,,mean(cloud_area_fraction P6M)
10048,WAWA_05,weather_type_automatic
3078,,sum(boolean_fair_weather(cloud_area_fraction P1D) P1M)
10096,TVIRT,mean(virtual_temperature PT1M)
3102,,sum(precipitation_amount P1M)
3103,,sum(precipitation_amount P1Y)
3104,,sum(precipitation_amount P3M)
3105,,sum(precipitation_amount P6M)
3169,,best_estimate_mean(air_temperature_anomaly P3M 1961_1990)
3127,,over_time(time_of_minimum_air_temperature P1M)
3129,,over_time(time_of_maximum_air_temperature P1M)
3156,,best_estimate_sum(precipitation_amount_anomaly P1M 1991_2020)
3247,,best_estimate_sum(precipitation_amount P1D)
440,TVN_010,min(road_surface_temperature PT10M)
441,TVX_010,max(road_surface_temperature PT10M)
2745,X3R,runway_id3
3106,,best_estimate_sum(precipitation_amount_anomaly P1M 1961_1990)
3345,,best_estimate_mean(air_temperature P6M)
3346,,best_estimate_mean(air_temperature_anomaly P6M 1991_2020)
3336,,region_sum(precipitation_amount_normal P1Y 1991_2020)
3337,,region_sum(precipitation_amount_normal P3M 1991_2020)
2074,QSO_01,mean(surface_upwelling_shortwave_flux_in_air PT1M)
3339,,region_mean(air_temperature_normal P1Y 1961_1990)
1091,WS2,wind_shear_at_second_runway_id
19,SG,sea_state
3128,,mean(min(air_temperature P1D) P1M)
3130,,mean(max(air_temperature P1D) P1M)
3110,,mean(surface_snow_thickness P1M)
3112,,min(surface_snow_thickness P1M)
3114,,max(surface_snow_thickness P1M)
3000,,max(visibility_in_air_poorest_direction P1D)
3002,,min(visibility_in_air_poorest_direction P1D)
3004,,max(relative_humidity P1D)
3322,,region_mean(air_temperature P1M 1961_1990)
3326,,region_mean(air_temperature_anomaly P1Y 1961_1990)
3006,,min(relative_humidity P1D)
10614,WS1MAX,sea_surface_wave_maximum_steepness
218,TDM,mean(dew_point_temperature PT1H)
219,TDN,min(dew_point_temperature PT1H)
268,UN_010,min(relative_humidity PT10M)
158,WTP2,sea_surface_wave_period_at_variance_spectral_density_second_maximum
10633,WDHF,sea_surface_wind_wave_from_direction
10609,WHM0HF,sea_surface_wind_wave_significant_height
10632,WTM02HF,sea_surface_wind_wave_mean_period_from_variance_spectral_density_second_frequency_moment
2081,QS_24,
2108,QLO_24,
313,HT3,cloud_top_height3
10286,STATLPM,
1000,signature,
1001,TEXT,
137,WH13,sea_surface_wave_significant_height
296,SSW,sea_water_salinity
30,V_24,over_time(weather_class1_primary_significance P1D)
3035,,min(surface_air_pressure P1D)
0,,
134,HWA,sea_surface_wave_significant_height
3342,,region_mean(air_temperature_normal P1Y 1991_2020)
3343,,region_mean(air_temperature_normal P3M 1991_2020)
10097,STD_TVIRT_01,standard_deviation(virtual_temperature PT1M)
10119,ANTP,over_time(number_of_particles PT1H)
2077,QSI_24,mean(surface_downwelling_shortwave_flux_in_air P1D)
2073,QSI_01,mean(surface_downwelling_shortwave_flux_in_air PT1M)
10312,RACPLUV_ALGOR_1,accumulated(precipitation_amount)
42,W1,over_time(weather_type_primary_significance)
156,WTMAX,sea_surface_wave_maximum_period
43,W2,over_time(weather_type_secondary_significance)
135,WHMAX,sea_surface_wave_maximum_height
2079,QD_24,mean(diffuse_downwelling_shortwave_flux_in_air P1D)
3347,,best_estimate_sum(precipitation_amount_anomaly P6M 1991_2020)
3026,,mean(dew_point_temperature P1D)
2078,QSO_24,mean(surface_upwelling_shortwave_flux_in_air P1D)
229,TP,barometer_temperature
295,CSW,sea_water_electrical_conductivity
11104,RRD,over_time(gauge_content_difference PT1H)
2122,OT_010,sum(duration_of_sunshine PT10M)
297,PSW,sea_water_pressure
116,RWA,accumulated(liquid_water_content_of_surface_snow)
10621,WSPRTP,sea_surface_wave_directional_spread_of_peak_period
2106,QLONETINST_010,mean(difference_between_upwelling_longwave_flux_and_instrument_longwave_radiation PT10M)
3348,,mean(soil_temperature P1D)
163,WDM1,sea_surface_primary_wave_from_direction
2104,QLONETINST_01,mean(difference_between_upwelling_longwave_flux_and_instrument_longwave_radiation PT1M)
138,WL,sea_surface_height_above_lowest_astronomical_tide
155,WTHMAX,sea_surface_wave_period_of_highest_wave
157,WTP,sea_surface_wave_period_at_variance_spectral_density_maximum
3204,,mean(air_pressure_at_sea_level_normal P1M 1991_2020)
3205,,mean(air_pressure_at_sea_level_normal P1M 1961_1990)
2103,QLINETINST_01,mean(difference_between_downwelling_longwave_flux_and_instrument_longwave_radiation PT1M)
10115,ANTP_01,over_time(number_of_particles PT1M)
171,PB,surface_air_pressure
115,RW,liquid_water_content_of_surface_snow
343,CE,mean(bulk_soil_relative_permittivity PT1H)
10620,WSPRT,sea_surface_wave_directional_spread_of_total_energy
161,WDP1,sea_surface_primary_wave_from_direction_at_variance_spectral_density_maximum
162,WDP2,sea_surface_secondary_wave_from_direction_at_variance_spectral_density_maximum
2740,X1R,runway_id1
2741,X2R,runway_id2
1090,WS,wind_shear_at_runway_id
22,CH,high_type_cloud
102,EV_1,sum(water_evaporation_amount PT1H)
2731,VVD_METAR,visibility_in_air_operationally_significant
303,HS3,cloud_base_height3
442,V1_SVV,over_time(precipitation_type_road PT10M)
2730,VV_METAR,visibility_in_air_predominant
3142,,mean(sea_surface_wave_mean_period P1M)
2738,X1VRMP,visibility_in_air_rvr_validation_x1r
3144,,max(sea_surface_wave_mean_period P1M)
3148,,mean(sea_surface_wave_significant_height P1M)
2739,X2VRMP,visibility_in_air_rvr_validation_x2r
2732,DV_VV,direction_of_visibility_in_air_predominant
3202,,integral_of_deficit_interpolated(mean(air_temperature_normal P1D 1991_2020) P1Y 17.0)
1043,REWW,over_time(weather_type_primary_significance_metar)
272,X1VR,visibility_in_air_rvr_x1r
10228,TIQS,instrument_temperature_shortwave_radiation
2101,QLI_01,mean(surface_downwelling_longwave_flux_in_air PT1M)
2072,QSI_010,mean(surface_downwelling_shortwave_flux_in_air PT10M)
2071,QSO,mean(surface_upwelling_shortwave_flux_in_air PT1H)
118,RR_010,sum(precipitation_amount PT10M)
227,TJM,mean(soil_temperature PT1H)
10333,YN_01,
221,TG,grass_temperature
32,V2,weather_class1_secondary_significance
35,V4S,over_time(weather_class1_primary_significance_intensity PT6H)
37,V5S,over_time(weather_class1_secondary_significance_intensity PT6H)
39,V6S,over_time(weather_class1_tertiary_significance_intensity PT6H)
160,WTZ,sea_surface_wave_mean_period
274,VZ,visibility_in_air_vertical_direction
3206,,mean(air_pressure_at_sea_level_normal P1Y 1991_2020)
41,WW,weather_type
166,WTM01,sea_surface_wave_mean_period_from_variance_spectral_density_first_frequency_moment
3207,,mean(air_pressure_at_sea_level_normal P1Y 1961_1990)
284,UM_VS,
281,BAT,battery_voltage
2031,QNET_01,mean(surface_net_downward_radiative_flux PT1M)
3208,,mean(air_temperature_normal P1D 1991_2020)
10271,VMOR_01,visibility_in_air_mor
3209,,mean(air_temperature_normal P1D 1961_1990)
23,CL,low_type_cloud
62,DD_02,mean(wind_from_direction PT2M)
64,DDM,mean(wind_from_direction PT1H)
201,QOX,max(mean(surface_downwelling_shortwave_flux_in_air PT1M) PT1H)
174,POM,mean(surface_air_pressure PT1H)
191,QA,mean(surface_albedo PT1H)
202,QR,
17,RS,icing_rate_type_on_ship
332,RTH_1,sum(duration_of_precipitation_as_hail PT1H)
341,GWS,
1088,FGN_02,min(wind_speed_of_gust PT2M)
10509,STATRH,
1042,CAVOK,ceiling_and_visibility_ok
2761,AUTO_METAR,automatic_metar
2751,CC1_M,cloud_type_icao1
15,NN,cloud_area_fraction
139,ERS,
4,CI,sea_ice_concentration
193,QBM,
194,QBN,
195,QBX,
10116,RACW_01,
36,V5,over_time(weather_class1_secondary_significance PT6H)
10610,WHM0LF,sea_surface_swell_wave_significant_height
10611,WHMEAN,sea_surface_wave_mean_height
44,X1WD,over_time(weather_type_additional1)
1067,DN,
3210,,mean(air_temperature_normal P1M 1991_2020)
205,QOA,
209,QRA,
3211,,mean(air_temperature_normal P1M 1961_1990)
10061,DD_01,mean(wind_from_direction PT1M)
111,RX,
204,QF,mean(surface_downwelling_photosynthetic_radiative_flux_in_air PT1H)
198,QL,
3212,,mean(air_temperature_normal P1Y 1991_2020)
3213,,mean(air_temperature_normal P1Y 1961_1990)
196,QD,mean(diffuse_downwelling_shortwave_flux_in_air PT1H)
197,QE,
200,QO,
207,QK,
20,SI,stage_of_sea_ice_developement
3214,,mean(max(air_temperature_normal P1D 1991_2020) P1M)
3215,,mean(max(air_temperature_normal P1D 1961_1990) P1M)
3216,,mean(max(air_temperature_normal P1D 1991_2020) P1Y)
3217,,mean(max(air_temperature_normal P1D 1961_1990) P1Y)
3171,,mean(air_temperature_anomaly P1M 1971_2000)
351,BR,road_friction
192,QB,
24,CM,medium_type_cloud
63,DG,wind_from_direction_of_gust
10107,RAC_01,accumulated(precipitation_amount)
10039,L_01,
10303,RA_01,
336,ERF,road_snow_thickness
55,HL,cloud_base_height
1068,DX_02,
10090,FFX_01,
10513,STATFFDD,
10501,ALARMPWS,
10514,STATVENT,
10112,SIGNSTR_SHM,
10284,APAR_01,
1069,DN_02,
1290,EE0,state_of_ground_legacy_national
96,DA,
2030,QNET,mean(surface_net_downward_radiative_flux PT1H)
121,OT_1,sum(duration_of_sunshine PT1H)
10503,TAPWS,
131,HW,sea_surface_wind_wave_mean_height
132,HW1,sea_surface_swell_wave_first_mean_height
127,RI,max(rainfall_rate PT1M)
3218,,mean(min(air_temperature_normal P1D 1991_2020) P1M)
133,HW2,sea_surface_swell_wave_second_mean_height
3219,,mean(min(air_temperature_normal P1D 1961_1990) P1M)
67,DX,max_wind_speed(wind_from_direction PT1H)
54,HH,
57,HM,
3177,,sum(precipitation_amount_anomaly P1M 1971_2000)
10524,AFRDRZZ_01,
10523,ADRZZ_01,
2,BI,ice_of_land_origin_type
10306,RACPLUV_ALGOR_01,
10117,SACMM_01,
65,DW1,sea_surface_swell_wave_from_direction_of_first_mean_height
361,BBCH11,day_of_year_for_birch_leafing
3246,,best_estimate_max(air_temperature P1D)
125,RR_15,sum(precipitation_amount PT15H)
73,DX_1,max_wind_speed(wind_from_direction PT1H)
