paramid,name,element_id
3153,,best_estimate_mean(air_temperature_anomaly P1M 1991_2020)
334,ERW,road_water_film_thickness
101,ES,icing_thickness
10506,HTD,dew_point_height_estimated
1011,IK,time_since_deicing_index
3154,,best_estimate_mean(air_temperature_anomaly P1Y 1991_2020)
3155,,best_estimate_mean(air_temperature_anomaly P3M 1991_2020)
122,OT_24,sum(duration_of_sunshine P1D)
3150,,max(sea_surface_wave_significant_height P1M)
10283,AMPLPAR_01,
242,TW,sea_surface_temperature
3157,,best_estimate_sum(precipitation_amount_anomaly P1Y 1991_2020)
3158,,best_estimate_sum(precipitation_amount_anomaly P3M 1991_2020)
3245,,best_estimate_min(air_temperature P1D)
10093,STD_FFX_01,
9,IR,precipitation_group_indicator
71,DVV,
72,DVX,
10285,STATPAR,
112,SA,surface_snow_thickness
38,V6,over_time(weather_class1_tertiary_significance PT6H)
106,RR_1,sum(precipitation_amount PT1H)
328,RT_010,sum(duration_of_precipitation PT10M)
40,V7,over_time(weather_class1_quaternary_significance PT6H)
10050,WAWA_NWS,over_time(weather_type_automatic PT1M)
140,WLF_01,mean(stream_stage PT1M)
310,DVR_02X,max(wind_from_direction_of_gust PT2M)
10630,WUI,unidirectivity_index
403,MDIR,mean(vessel_direction PT3H)
10522,PARTSIZ_01,
113,SS_1,
76,DX_12,
80,DG_12,
306,CC2,cloud_type2
46,X3WD,over_time(weather_type_additional3)
10623,WTHHF,sea_surface_wind_wave_from_mean_direction_of_total_energy
304,HS4,cloud_base_height4
1028,KLFX_1,over_time(time_of_maximum_wind_speed PT1H)
312,HT2,cloud_top_height2
3162,,mean(air_temperature_anomaly P6M 1991_2020)
3164,,sum(precipitation_amount_anomaly P1Y 1991_2020)
66,DW2,sea_surface_swell_wave_from_direction_of_second_mean_height
7,EM,state_of_ground_legacy
10225,TIQL,instrument_temperature_longwave_radiation
10,IX,indicator_station_type_weather
109,RR_12,sum(precipitation_amount PT12H)
18,SD,snow_coverage_type
10094,STD_FFY_01,
10095,STD_FFZ_01,
10502,STATPWS,
14,NH,low_type_cloud_area_fraction
16,NNM_24,mean(cloud_area_fraction P1D)
25,NS1,cloud_area_fraction1
26,NS2,cloud_area_fraction2
27,NS3,cloud_area_fraction3
45,X2WD,over_time(weather_type_additional2)
10525,ARAIN_01,
264,UN,min(relative_humidity PT1H)
265,UX,max(relative_humidity PT1H)
31,V1,weather_class1_primary_significance
3333,,region_sum(precipitation_amount_normal P1Y 1961_1990)
263,UM,mean(relative_humidity PT1H)
10626,WTL,
10622,WTC,
10629,WTU,
10515,STATFAN,
78,DG_1,max_wind_speed(wind_from_direction_of_gust PT1H)
77,DG_010,max_wind_speed(wind_from_direction_of_gust PT10M)
335,ERI,road_ice_thickness
1027,KLFG_1,over_time(time_of_maximum_wind_speed_of_gust PT1H)
206,QLO,mean(surface_upwelling_longwave_flux_in_air PT1H)
10625,WTHTP,sea_surface_wave_from_direction_at_variance_spectral_density_maximum
79,DG_6,
70,DVR_010X,max(wind_from_direction_of_gust PT10M)
309,DVR_02N,min(wind_from_direction_of_gust PT2M)
69,DVR_010N,min(wind_from_direction_of_gust PT10M)
502,BIO_CP,mass_concentration_of_cryptophytes_in_sea_water
151,PW,sea_surface_wind_wave_mean_period
3167,,best_estimate_mean(air_temperature_anomaly P1M 1961_1990)
10615,WS1MEAN,sea_surface_wave_mean_steepness
401,MLAT,latitude
402,MLON,longitude
172,PH,air_pressure_at_sea_level_qnh
175,PON,min(surface_air_pressure PT1H)
176,POX,max(surface_air_pressure PT1H)
305,CC1,cloud_type1
10305,RRDELAYED_01,
10308,RRPLUV_01,
3107,,best_estimate_sum(precipitation_amount_anomaly P1Y 1961_1990)
10307,RAPLUVDELAYED_01,
1039,WWB1,weather_type_primary_significance_metar
3166,,sum(precipitation_amount_anomaly P6M 1991_2020)
13,ITZ,wind_info_synop
266,UUM_24,mean(relative_humidity P1D)
1022,KLOBS,time_of_observation
152,PW1,sea_surface_swell_wave_first_mean_period
10309,RIPLUV_01,
10128,RI_05,
10126,RIW_01,
10125,RIS_01,
10526,AFRRAIN_01,
10527,ASNWGR_01,
10528,ASNWFL_01,
10529,AICPL_01,
10530,AHAIL_01,
10288,KVALLPM_01,
10627,WTM02,sea_surface_wave_mean_period_from_variance_spectral_density_second_frequency_moment
10628,WTM24,
124,RT_24,sum(duration_of_precipitation P1D)
331,RTR_1,sum(duration_of_precipitation_as_rain PT1H)
130,RTS_1,sum(duration_of_precipitation_as_snow PT1H)
330,RTY_1,sum(duration_of_precipitation_as_drizzle PT1H)
153,PW2,sea_surface_swell_wave_second_mean_period
10613,WS1HMAX,sea_surface_wave_steepness_of_highest_wave
262,UU,relative_humidity
10624,WTHLF,sea_surface_swell_wave_from_mean_direction_of_total_energy
329,RRVIPP,precipitation_amount
2076,QD_01,mean(diffuse_downwelling_shortwave_flux_in_air PT1M)
128,RT_01,sum(duration_of_precipitation PT1M)
10618,WSIGS1,sea_surface_wave_steepness_stdev
177,PP,over_time(tendency_of_surface_air_pressure PT3H)
10310,RA_GRAMM_01,
10311,RACTRWS_ALGOR_01,
10616,WSDP1,sea_surface_wave_energy_at_variance_spectral_density_maximum
10118,RAD_01,over_time(equivalent_reflectivity_factor PT1M)
10104,RA1_01,
10106,RA3_01,
10105,RA2_01,
290,CD,sea_water_to_direction
61,DD,wind_from_direction
93,FX_X,
10085,FG_020,max(wind_speed_of_gust PT20M)
33,V3,weather_class1_tertiary_significance
226,TJ,soil_temperature
1086,FGN_010,min(wind_speed_of_gust PT10M)
1089,FX_020,max(wind_speed PT20M)
2102,QLO_01,mean(surface_upwelling_longwave_flux_in_air PT1M)
10612,WHS1MAX,sea_surface_wave_height_of_steepest_wave
10619,WSPR1,sea_surface_wave_directional_spread
119,RR_2,sum(precipitation_amount PT2H)
126,RR_18,sum(precipitation_amount PT18H)
10092,FFZ_01,
75,DX_6,max_wind_speed(wind_from_direction PT6H)
1,AA,tendency_of_surface_air_pressure_type
104,RA,accumulated(precipitation_amount)
3,BT,sum(duration_of_leaf_wetness PT1H)
10617,WSFP,
273,VV,visibility_in_air_poorest_direction
275,VX,
87,FX_1,max(wind_speed PT1H)
10049,WAWA_01,weather_type_automatic
404,MSPEED,mean(vessel_speed PT3H)
2070,QSI,mean(surface_downwelling_shortwave_flux_in_air PT1H)
210,QLI,mean(surface_downwelling_longwave_flux_in_air PT1H)
10047,WAWA_015,weather_type_automatic
405,OCTANT,vessel_location_octant
34,V4,over_time(weather_class1_primary_significance PT6H)
314,HT4,cloud_top_height4
6,DI,direction_of_sea_ice_edge
10127,RI_01,mean(rainfall_rate PT1M)
3170,,mean(air_temperature_anomaly P1M 1961_1990)
178,PR,air_pressure_at_sea_level
3045,,mean(wind_speed P1M)
3173,,mean(air_temperature_anomaly P3M 1961_1990)
49,WAWA,weather_type_automatic
136,WHM0,sea_surface_wave_significant_height
56,HLN,min(cloud_base_height PT1H)
3180,,mean(min(air_temperature P1D) P1Y)
3181,,mean(max(air_temperature P1D) P1Y)
3182,,sum(duration_of_sunshine P1Y)
3183,,mean(air_pressure_at_sea_level P1Y)
3184,,mean(surface_air_pressure P1Y)
503,BIO_D,mass_concentration_of_diatoms_in_sea_water
123,RT_1,sum(duration_of_precipitation PT1H)
3187,,max(sea_surface_wave_significant_height P1D)
3188,,max(sea_surface_wave_significant_height P1M)
3057,,mean(wind_speed_of_gust P1M)
271,VMOR,visibility_in_air_mor
3174,,mean(air_temperature_anomaly P6M 1961_1990)
173,PO,surface_air_pressure
107,RR_3,sum(precipitation_amount PT3H)
3059,,min(wind_speed_of_gust P1M)
108,RR_6,sum(precipitation_amount PT6H)
3061,,max(wind_speed_of_gust P1M)
3199,,max(beaufort_wind_force PT6H)
3189,,mean(sea_surface_wave_significant_height P1D)
3190,,mean(sea_surface_wave_significant_height P1M)
3191,,min(sea_surface_wave_significant_height P1D)
3192,,min(sea_surface_wave_significant_height P1M)
3220,,mean(min(air_temperature_normal P1D 1991_2020) P1Y)
504,BIO_GA,mass_concentration_of_green_algae_in_sea_water
3243,,sum(precipitation_amount P30D)
3308,,region_sum(precipitation_amount P3M 1961_1990)
3198,,beaufort_wind_force
3221,,mean(min(air_temperature_normal P1D 1961_1990) P1Y)
3222,,mean(relative_humidity_normal P1M 1991_2020)
3223,,mean(relative_humidity_normal P1M 1961_1990)
3224,,mean(surface_air_pressure_normal P1M 1991_2020)
3225,,mean(surface_air_pressure_normal P1M 1961_1990)
3226,,mean(surface_air_pressure_normal P1Y 1991_2020)
3227,,mean(surface_air_pressure_normal P1Y 1961_1990)
3228,,number_of_days_gte(sum(precipitation_amount_normal P1D 1991_2020) P1M 1)
3229,,number_of_days_gte(sum(precipitation_amount_normal P1D 1961_1990) P1M 1)
3230,,number_of_days_gte(sum(precipitation_amount_normal P1D 1991_2020) P1Y 1)
3231,,number_of_days_gte(sum(precipitation_amount_normal P1D 1961_1990) P1Y 1)
3234,,sum(duration_of_sunshine_normal P1Y 1991_2020)
3235,,sum(duration_of_sunshine_normal P1Y 1961_1990)
3236,,sum(precipitation_amount_normal P1M 1991_2020)
3237,,sum(precipitation_amount_normal P1M 1961_1990)
3238,,sum(precipitation_amount_normal P1Y 1991_2020)
3239,,sum(precipitation_amount_normal P1Y 1961_1990)
307,CC3,cloud_type3
308,CC4,cloud_type4
3115,SAX,max(surface_snow_thickness PT1H)
3113,SAN,min(surface_snow_thickness PT1H)
3111,SAM,mean(surface_snow_thickness PT1H)
208,QS,mean(solar_irradiance PT1H)
2075,QS_01,mean(solar_irradiance PT1M)
3197,,over_time(humidity_mixing_ratio P1D)
47,WA1,over_time(weather_type_automatic_primary_significance)
48,WA2,over_time(weather_type_automatic_secondary_significance)
1021,KLSTART,time_of_observation_interval_start
3196,,max(sum(precipitation_amount P1D) P1M)
117,RR_X,sum_over_undefined_period(precipitation_amount)
3232,,sum(duration_of_sunshine_normal P1M 1991_2020)
3233,,sum(duration_of_sunshine_normal P1M 1961_1990)
12,ITR,precipitation_duration_period
21,ZI,tendency_of_sea_ice_condition
406,QUADRANT,vessel_location_quadrant
11,IZ,icing_type_on_ship
509,TSW,sea_water_turbidity
3050,,mean(wind_speed P1D)
3063,,mean(max(wind_speed PT1H) P1D)
3065,,min(max(wind_speed PT1H) P1D)
3064,,min(max(wind_speed P1D) P1M)
3066,,max(max(wind_speed P1D) P1M)
2747,X3VRX,max(visibility_in_air_rvr_x3r)
506,FR,flow_rate
